[GIN] 2021/01/21 - 11:16:00 | 200 |  137.536457ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  138.735525ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   138.74088ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:17:17 | 200 |     3.77894ms |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:17 | 200 |   15.237326ms |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:17 | 200 |   505.27912ms |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:17 | 200 |  513.904183ms |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:25 | 200 |  8.531470476s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.545566094s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.544401822s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.555060465s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.556199466s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.554708846s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.555179091s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.556865263s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.555735584s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.556229819s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 |  15.55444852s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.555208916s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.556642436s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.555830602s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.557131825s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.556935461s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.557033658s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.557453495s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.557184652s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.558154665s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.556430155s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.554763838s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.556405319s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.556794252s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.623625865s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.620919128s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.621499865s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 |  15.62243256s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 |  15.62290423s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.622755476s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.625053447s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.624984425s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.625399925s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.623814684s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 |  15.62538738s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.624455691s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.625503396s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.625875447s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.624360334s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.627409527s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.628602428s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 |  15.62768024s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.627058903s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.629647659s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.627969678s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.628435274s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.628805838s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.629948088s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.628628005s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.629085311s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.632437374s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.630758309s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.629701163s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.632597926s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.630639142s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.631909847s |       127.0.0.1 | GET      "/goods/lockbuyone"
[GIN] 2021/01/21 - 11:17:33 | 200 | 15.630503725s |       127.0.0.1 | GET      "/goods/lockbuyone"
